Angle,mic0,mic1,mic2,mic3
0,142.0,152.0,101.0,102.0,
1,151.0,162.0,115.0,119.0,
2,151.0,169.0,113.0,107.0,
3,154.0,174.0,120.0,109.0,
4,156.0,172.0,122.0,112.0,
5,154.0,167.0,117.0,105.0,
6,149.0,164.0,114.0,101.0,
7,155.0,163.0,114.0,120.0,
8,152.0,163.0,113.0,114.0,
9,154.0,166.0,115.0,119.0,
10,154.0,165.0,114.0,120.0,
11,153.0,166.0,111.0,98.0,
12,155.0,166.0,115.0,120.0,
13,156.0,166.0,114.0,120.0,
14,156.0,166.0,115.0,119.0,
15,153.0,165.0,115.0,119.0,
16,154.0,166.0,111.0,98.0,
17,153.0,166.0,115.0,119.0,
18,155.0,169.0,113.0,100.0,
19,155.0,169.0,115.0,120.0,
20,151.0,167.0,111.0,98.0,
21,152.0,166.0,115.0,119.0,
22,152.0,169.0,113.0,100.0,
23,154.0,166.0,115.0,119.0,
24,156.0,165.0,115.0,120.0,
25,151.0,166.0,110.0,97.0,
26,156.0,167.0,115.0,117.0,
27,154.0,169.0,114.0,120.0,
28,155.0,167.0,112.0,98.0,
29,155.0,165.0,110.0,98.0,
30,156.0,166.0,115.0,119.0,
